_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	10	1		20		10	2.82639		7.39562		1.79442		7.21627		
_D:	1	10	0		20		10	4.89784		-2.19021	2.70923		-3.12286	
_D:	1	10	0		20		10	1.76906		4.46308		3.73459		3.38404		
_D:	1	10	0		20		10	3.22433		0.558502	3.27661		-0.070421	
_D:	1	10	1		20		10	-1.26328	-3.75012	-2.98073	0.76689		
_D:	1	10	1		20		10	4.97865		2.08158		1.95339		1.21459		
_D:	1	10	1		20		10	5.56075		-2.73284	6.21794		-3.27032	
_D:	1	10	2		20		10	2.11378		-4.85191	2.19695		-3.39338	
_D:	1	10	3		20		10	0.423981	-4.78478	1.71651		-6.99218	
_D:	1	10	1		20		10	2.42211		0.970152	-0.32865	2.16522		
_D:	1	10	1		20		10	4.09686		1.01418		0.473882	-1.14736	
_D:	1	10	3		20		10	5.25585		-6.59943	6.21372		-6.47051	
_D:	1	10	0		20		10	10.8758		-1.95079	5.91464		-0.24572	
_D:	1	10	0		20		10	4.82363		-0.0487599	3.17967		1.0846		
_D:	1	10	2		20		10	1.32024		3.5434		0.742364	1.64068		
_D:	1	10	0		20		10	4.02724		2.32582		2.95983		-1.34471	
_D:	1	10	0		20		10	1.09261		-6.5135		-0.285656	-3.31657	
_D:	1	10	0		20		10	3.71807		4.42842		2.01263		4.57685		
_D:	1	10	1		20		10	4.36353		-0.722137	3.44451		-2.14222	
_D:	1	10	0		20		10	7.85366		-0.318862	3.62306		2.45097		
_D:	1	10	1		20		10	5.4131		-5.07435	3.11705		-3.56995	
_D:	1	10	2		20		10	2.25971		1.31994		2.51081		1.24521		
_D:	1	10	1		20		10	8.69018		-0.844429	5.56823		-2.33952	
_D:	1	10	0		20		10	5.08804		-6.04329	2.66996		-1.64964	
_D:	1	10	1		20		10	0.68167		2.23522		0.314566	0.181884	
_D:	1	10	0		20		10	1.7661		-2.53459	1.68382		-1.82128	
_D:	1	10	1		20		10	2.26095		-0.632783	1.63337		1.75905		
_D:	1	10	0		20		10	10.4692		-2.09127	4.03279		-0.317473	
_D:	1	10	3		20		10	3.77489		0.496686	5.0722		2.20373		
_D:	1	10	1		20		10	-1.1773		-4.40233	0.62986		-2.53462	
_D:	1	10	0		20		10	9.3068		-1.51393	5.85294		-3.0128		
_D:	1	10	0		20		10	3.84098		1.79104		2.14755		0.213596	
_D:	1	10	1		20		10	1.78177		3.64887		1.35934		0.201253	
_D:	1	10	1		20		10	2.08216		1.67702		1.53943		-0.00679742	
_D:	1	10	0		20		10	0.884867	-2.03787	2.24774		-2.52701	
_D:	1	10	1		20		10	6.43652		0.274427	4.04216		-1.41522	
_D:	1	10	2		20		10	2.02192		3.22084		-0.59034	1.27606		
_D:	1	10	3		20		10	-1.63179	6.74254		-1.59386	4.58066		
_D:	1	10	3		20		10	4.10535		3.11628		2.08415		3.27121		
_D:	1	10	1		20		10	-0.830943	5.76136		-1.35016	6.61909		
_D:	1	10	1		20		10	5.80303		2.23019		5.64036		1.63588		
_D:	1	10	2		20		10	1.62217		6.97495		1.55042		7.12856		
_D:	1	10	0		20		10	2.98736		-1.28356	1.78224		-2.5796		
_D:	1	10	1		20		10	1.23533		4.31038		0.0335769	-0.116195	
_D:	1	10	0		20		10	3.26257		4.96101		0.17143		1.4349		
_D:	1	10	0		20		10	2.65232		5.70051		-0.201844	0.8761		
_D:	1	10	1		20		10	0.127007	0.328641	0.0794918	0.889461	
_D:	1	10	1		20		10	4.51929		0.433141	-1.67475	-1.66391	
_D:	1	10	1		20		10	7.66944		6.41634		1.95254		0.498341	
_D:	1	10	1		20		10	1.13844		-5.16673	0.988844	-1.81527	
