_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	0	0		100		1	15.0145		2.34696		7.91864		0.550437	
_D:	1	0	0		100		2	14.6298		2.98218		6.56999		0.807318	
_D:	1	0	1		100		3	8.90666		7.04905		7.62544		5.93463		
_D:	1	0	1		100		4	7.76239		8.94948		7.15777		7.00182		
_D:	1	0	0		100		5	11.4286		2.97808		5.02584		0.490108	
_D:	1	0	1		100		6	11.348		7.761		8.1251		5.89767		
_D:	1	0	1		100		7	8.31832		8.57203		7.95017		6.69674		
_D:	1	0	1		100		8	15.4227		5.98081		9.69151		4.39892		
_D:	1	0	0		100		9	16.4755		3.30044		8.32204		1.40022		
_D:	1	0	0		100		10	16.297		2.06727		8.258		0.336874	
_D:	1	0	1		100		11	6.63953		5.25822		1.33597		0.510946	
_D:	1	0	0		100		12	19.4671		2.37963		9.64347		0.888255	
_D:	1	0	0		100		13	21.0658		2.13368		11.8414		1.391		
_D:	1	0	1		100		14	11.9989		7.38593		10.0992		6.25907		
_D:	1	0	0		100		15	23.4145		2.0391		12.7512		0.834547	
_D:	1	0	0		100		16	23.0069		2.37922		12.3238		1.00361		
_D:	1	0	0		100		17	22.1557		2.40792		12.0215		1.30149		
_D:	1	0	0		100		18	23.0998		1.02837		12.5357		0.406458	
_D:	1	0	1		100		19	13.6903		7.16845		11.7674		6.17241		
_D:	1	0	2		100		20	20.1628		1.35847		12.0322		0.442454	
_D:	1	0	1		100		21	19.9683		7.26732		11.8176		6.2402		
_D:	1	0	1		100		22	9.90584		5.47738		9.41776		4.55477		
_D:	1	0	1		100		23	8.9383		7.06899		8.46881		6.41811		
_D:	1	0	1		100		24	7.48981		7.15012		7.06382		6.42788		
_D:	1	0	0		100		25	4.51097		15.8891		3.06913		8.57436		
_D:	1	0	1		100		26	8.26222		7.96144		7.29964		6.72754		
_D:	1	0	1		100		27	7.90098		7.24893		6.94376		6.39619		
_D:	1	0	0		100		28	3.25651		19.1201		2.8313		9.40784		
_D:	1	0	0		100		29	3.93183		18.8708		2.80275		9.58578		
_D:	1	0	0		100		30	4.05346		24.6115		2.43226		10.9493		
_D:	1	0	1		100		31	7.58557		11.8732		6.07737		9.91853		
