_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	10	1		20		10	-2.26544	5.63364		-2.64406	5.87831		
_D:	1	10	0		20		10	-3.06905	-6.64525	-0.34466	-4.74652	
_D:	1	10	0		20		10	-0.648961	2.37499		1.59997		2.72573		
_D:	1	10	0		20		10	-1.48372	-0.855345	2.03585		-0.47746	
_D:	1	10	1		20		10	-0.664839	-2.49376	-3.71383	1.59231		
_D:	1	10	1		20		10	0.222407	-0.996289	-1.23668	0.511837	
_D:	1	10	1		20		10	1.20485		-3.83162	4.16319		-3.49674	
_D:	1	10	2		20		10	-5.60084	-4.26941	-0.797787	-3.11259	
_D:	1	10	3		20		10	-2.65417	-3.68128	0.968871	-4.0438		
_D:	1	10	1		20		10	2.08072		2.3872		-3.26936	3.21593		
_D:	1	10	1		20		10	-2.04831	-2.46434	-1.11839	-1.13048	
_D:	1	10	3		20		10	4.36515		-7.89519	7.30747		-7.49813	
_D:	1	10	0		20		10	7.42526		-2.99786	4.98508		-0.90508	
_D:	1	10	0		20		10	6.63702		-0.12688	2.93434		0.720135	
_D:	1	10	2		20		10	-0.53202	0.279232	0.435478	0.0387478	
_D:	1	10	0		20		10	0.154648	1.77454		1.3761		-1.97767	
_D:	1	10	0		20		10	-4.90532	-5.95698	-3.74963	-2.64609	
_D:	1	10	0		20		10	1.40358		2.69596		-0.459667	4.07388		
_D:	1	10	1		20		10	-1.63748	-6.45168	1.42734		-6.67753	
_D:	1	10	0		20		10	3.23919		-5.17564	-0.615716	2.13032		
_D:	1	10	1		20		10	0.473321	-2.81221	1.8353		-0.72462	
_D:	1	10	2		20		10	1.58514		-1.87677	2.74805		-1.60443	
_D:	1	10	1		20		10	5.46274		-1.70701	4.79269		-2.07402	
_D:	1	10	0		20		10	-2.40241	-3.59619	-0.234111	-2.60857	
_D:	1	10	1		20		10	-1.94302	0.622266	-0.503234	-0.410745	
_D:	1	10	0		20		10	-2.50074	-5.32597	-2.6871		-3.55484	
_D:	1	10	1		20		10	-5.88242	-5.08081	-3.96043	-2.92231	
_D:	1	10	0		20		10	3.73099		-4.22203	-0.00537877	-1.92304	
_D:	1	10	3		20		10	-3.3004		-2.08018	-0.556254	0.606887	
_D:	1	10	1		20		10	-3.11076	-4.47135	-0.032706	-2.40029	
_D:	1	10	0		20		10	0.0746303	-4.91956	4.50315		-5.97519	
_D:	1	10	0		20		10	1.7284		-0.0917407	1.29553		-1.20226	
_D:	1	10	1		20		10	-5.01441	-4.43382	-1.06455	-3.35116	
_D:	1	10	1		20		10	0.180001	0.527885	0.88137		0.470673	
_D:	1	10	0		20		10	-8.12066	-3.82028	-3.86622	-2.13588	
_D:	1	10	1		20		10	2.17098		-5.06753	2.53937		-5.26703	
_D:	1	10	2		20		10	0.893356	-2.21561	-0.260076	0.716119	
_D:	1	10	3		20		10	-6.0317		1.29425		-5.10866	0.599525	
_D:	1	10	3		20		10	-2.4036		1.28451		-0.801462	-0.447203	
_D:	1	10	1		20		10	-4.118		-3.18137	-3.90279	0.284394	
_D:	1	10	1		20		10	4.88374		2.52127		4.82249		2.36064		
_D:	1	10	2		20		10	-1.69838	5.25333		-1.64717	7.20406		
_D:	1	10	0		20		10	-5.26383	-3.18844	-2.80696	-1.15686	
_D:	1	10	1		20		10	-0.645973	2.46404		-0.310602	-3.36782	
_D:	1	10	0		20		10	-0.836444	-1.78111	-0.0195356	-4.34039	
_D:	1	10	0		20		10	-1.52143	0.225717	-2.07782	-0.427507	
_D:	1	10	1		20		10	-2.55373	-7.20407	-0.844967	-1.75967	
_D:	1	10	1		20		10	3.09134		-0.033947	-1.43761	-2.24343	
_D:	1	10	1		20		10	8.08701		3.61283		2.02345		0.364443	
_D:	1	10	1		20		10	-4.99038	-5.47608	-1.35317	-2.31995	
