_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	0	0		100		7	26.808		0.468761	11.3688		0.351197	
_D:	1	0	0		100		8	30.0764		1.94121		14.4318		1.27742		
_D:	1	0	0		100		9	26.5198		1.30111		10.7408		0.87205		
_D:	1	0	1		100		10	9.49779		6.59656		0.103643	0.594975	
_D:	1	0	0		100		11	26.6815		1.03142		10.2235		0.341323	
_D:	1	0	0		100		12	29.4675		1.57342		14.5808		0.948186	
_D:	1	0	0		100		13	26.8684		2.34346		10.8831		1.80166		
_D:	1	0	0		100		14	30.8191		1.72675		14.8008		1.31609		
_D:	1	0	0		100		15	28.8873		1.8713		13.6494		0.914749	
_D:	1	0	0		100		16	29.4278		1.26257		13.5144		0.633066	
_D:	1	0	1		100		17	8.72618		7.39621		8.70606		6.55819		
_D:	1	0	0		100		18	29.6565		0.452522	15.5586		-0.284291	
_D:	1	0	0		100		19	16.4169		3.93638		8.22569		0.0817602	
_D:	1	0	1		100		20	8.58323		1.56771		0.00758486	-0.62117	
_D:	1	0	2		100		21	22.9376		0.547395	9.63013		-0.804414	
_D:	1	0	1		100		22	15.8301		4.49986		8.19659		-1.07061	
_D:	1	0	1		100		23	5.87517		1.32189		0.000122566	-1.53472	
_D:	1	0	1		100		24	7.13188		2.58075		0.000360966	-0.952963	
_D:	1	0	0		100		25	0.0127244	16.2588		0.00100271	6.70681		
_D:	1	0	0		100		26	0.0232		16.9273		0.00981732	6.44841		
_D:	1	0	0		100		27	0.0419411	21.5796		0.0136776	7.73634		
_D:	1	0	0		100		28	0.0685081	22.9938		0.0303466	11.8275		
_D:	1	0	1		100		29	6.23534		7.89194		0.0336975	-1.93273	
_D:	1	0	0		100		30	0.249872	25.4119		0.164619	12.8961		
_D:	1	0	0		100		31	0.31301		25.8474		0.210165	9.90056		
_D:	1	0	0		100		32	0.493498	20.8654		0.279008	7.52812		
_D:	1	0	0		100		33	0.600846	28.3716		0.434431	12.016		
_D:	1	0	0		100		34	1.0743		21.6998		0.848128	10.7796		
_D:	1	0	1		100		35	3.89187		12.388		0.888313	-1.63002	
_D:	1	0	0		100		36	0.582547	24.2509		0.50386		14.8763		
_D:	1	0	0		100		37	1.48923		23.4405		0.523353	14.526		
_D:	1	0	1		100		38	6.70871		8.69125		6.61044		8.59984		
_D:	1	0	0		100		39	1.19752		27.7029		0.598441	12.6812		
_D:	1	0	0		100		40	2.84419		25.4727		0.997816	12.9263		
_D:	1	0	1		100		40	-0.0340156	9.15865		-0.516648	9.14705		
_D:	1	0	0		100		1	27.4175		0.299407	13.6454		0.00968791	
_D:	1	0	0		100		2	28.126		0.0930392	14.2219		0.0235407	
_D:	1	0	0		100		3	29.838		0.589066	13.6338		0.175089	
_D:	1	0	0		100		4	27.009		0.600552	12.9915		0.0105294	
_D:	1	0	0		100		5	32.9576		1.04023		17.3359		0.0465798	
_D:	1	0	0		100		6	32.2124		0.514032	15.7446		0.127321	
_D:	1	0	0		100		7	28.9627		1.08174		14.7614		0.426338	
_D:	1	0	0		100		8	29.2282		1.60077		15.3068		0.191478	
_D:	1	0	0		100		9	31.877		1.55001		17.5274		0.339461	
_D:	1	0	0		100		10	29.6777		1.75008		16.3335		0.55981		
_D:	1	0	1		100		11	12.2948		6.84564		1.80643		0.126647	
_D:	1	0	0		100		12	21.373		2.04563		9.56021		0.283791	
_D:	1	0	0		100		13	24.1757		3.16061		13.1409		0.410269	
_D:	1	0	1		100		14	12.7415		6.48713		2.23367		0.816996	
_D:	1	0	1		100		15	12.1986		7.31366		11.1576		6.38792		
_D:	1	0	1		100		16	12.3331		9.86646		2.36465		3.30407		
_D:	1	0	0		100		17	25.2615		2.93982		13.7393		2.12266		
_D:	1	0	0		100		18	27.7384		3.26487		15.7894		1.88177		
_D:	1	0	1		100		19	9.25435		14.086		8.52621		8.32515		
_D:	1	0	1		100		20	10.7748		5.9292		1.1872		1.79498		
_D:	1	0	1		100		21	8.66738		7.57798		1.06557		0.744892	
_D:	1	0	1		100		22	9.45175		6.30782		1.2399		1.19319		
_D:	1	0	1		100		23	8.26826		5.19165		1.42572		1.19476		
_D:	1	0	1		100		24	7.84105		7.82366		7.46625		7.10101		
_D:	1	0	1		100		25	9.81053		7.31791		9.08073		6.38468		
_D:	1	0	1		100		26	7.51547		7.35081		7.44478		6.48493		
_D:	1	0	0		100		27	2.43225		15.5252		1.75657		11.6082		
_D:	1	0	1		100		28	7.7935		8.58552		0.0314213	8.35655		
_D:	1	0	1		100		29	7.18079		10.075		8.24094		0.0708569	
_D:	1	0	0		100		30	6.52491		11.9199		1.73903		5.72164		
_D:	1	0	2		100		31	10.7116		8.66636		3.31051		8.60751		
_D:	1	0	1		100		32	12.6191		11.1835		4.70612		11.0815		
_D:	1	0	0		100		33	0.83624		25.7581		0.638409	15.4368		
_D:	1	0	0		100		34	1.86597		27.6452		1.62498		12.1214		
_D:	1	0	0		100		35	2.22875		26.5419		1.84372		15.3409		
_D:	1	0	1		100		36	8.17904		13.2806		5.09348		5.43577		
_D:	1	0	0		100		37	2.44741		28.9366		1.5981		15.0717		
_D:	1	0	1		100		38	5.17836		10.9077		0.922511	3.79321		
_D:	1	0	0		100		39	5.11719		17.5075		4.54915		11.1618		
_D:	1	0	0		100		40	1.46216		28.4789		0.0332736	16.4913		
_D:	1	0	1		100		40	-4.31007	8.83676		0.0619506	0.00631564	
_D:	1	0	1		100		1	9.60889		8.14116		9.52016		8.04086		
_D:	1	0	1		100		2	10.3185		7.64686		9.83101		7.35209		
_D:	1	0	1		100		3	10.3677		7.04874		9.46214		6.36958		
_D:	1	0	1		100		4	9.57794		5.22641		9.07072		4.90887		
_D:	1	0	1		100		5	11.4944		5.22549		9.87771		4.61227		
_D:	1	0	1		100		6	10.7214		2.59685		9.44746		1.98666		
_D:	1	0	0		100		7	21.9879		3.78519		12.2965		2.88022		
_D:	1	0	0		100		8	22.5133		2.02917		13.627		0.545264	
