_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	10	1		20		10	-0.743568	4.39022		-2.16031	4.00168		
_D:	1	10	0		20		10	1.09155		-4.6613		1.52785		-3.05443	
_D:	1	10	0		20		10	-3.87802	0.206491	0.472202	-0.978527	
_D:	1	10	0		20		10	0.421915	-2.14654	1.97775		-0.0727213	
_D:	1	10	1		20		10	1.39916		-3.95019	-1.00957	1.44339		
_D:	1	10	1		20		10	1.75323		1.77735		0.335728	0.882122	
_D:	1	10	1		20		10	5.51557		-2.87356	4.67684		-3.62222	
_D:	1	10	2		20		10	-1.81302	-6.67295	-1.64242	-4.76285	
_D:	1	10	3		20		10	-0.0564013	-7.06239	1.3307		-5.93562	
_D:	1	10	1		20		10	3.81486		-0.545673	-0.557346	2.04283		
_D:	1	10	1		20		10	0.817472	-2.97623	-0.0895241	-0.651299	
_D:	1	10	3		20		10	6.41961		-8.27117	7.45084		-8.27724	
_D:	1	10	0		20		10	8.37476		-1.83336	5.29234		0.165474	
_D:	1	10	0		20		10	4.67807		0.224434	2.38316		1.17467		
_D:	1	10	2		20		10	-0.273539	1.78902		0.77378		1.75119		
_D:	1	10	0		20		10	1.36799		-2.05991	0.856897	-1.7347		
_D:	1	10	0		20		10	0.20228		-8.5513		-1.10077	-3.60902	
_D:	1	10	0		20		10	0.404073	2.26589		-0.0289128	2.11657		
_D:	1	10	1		20		10	3.47329		-2.28865	1.72733		-3.23984	
_D:	1	10	0		20		10	6.45708		-0.632943	2.29008		2.50553		
_D:	1	10	1		20		10	3.8634		-5.31245	1.92328		-4.26081	
_D:	1	10	2		20		10	0.998019	-3.82478	1.90994		-2.81709	
_D:	1	10	1		20		10	5.65818		-0.78114	4.91889		-2.13435	
_D:	1	10	0		20		10	3.18433		-8.17461	1.91884		-3.51606	
_D:	1	10	1		20		10	-0.951959	-2.95314	0.45341		-2.32602	
_D:	1	10	0		20		10	-0.912533	-2.05032	-0.389196	-1.55396	
_D:	1	10	1		20		10	-0.280705	-1.75499	0.0385828	0.066295	
_D:	1	10	0		20		10	5.97286		-1.81553	0.461493	-0.035516	
_D:	1	10	3		20		10	0.774351	-0.100111	2.73328		1.73138		
_D:	1	10	1		20		10	-1.90946	-6.1402		0.340992	-3.33071	
_D:	1	10	0		20		10	5.17519		-3.72874	4.19826		-4.41853	
_D:	1	10	0		20		10	2.3558		-1.58441	0.213415	-3.18896	
_D:	1	10	1		20		10	-0.425865	-3.5671		0.341384	-1.99285	
_D:	1	10	1		20		10	2.23503		1.57687		1.60158		0.00138716	
_D:	1	10	0		20		10	-4.09559	-10.3584	-1.89568	-8.28143	
_D:	1	10	1		20		10	2.79061		0.536705	2.96468		-0.863189	
_D:	1	10	2		20		10	0.14033		-2.64436	-1.32914	-0.138337	
_D:	1	10	3		20		10	-3.38456	-0.366799	-3.06768	-2.64449	
_D:	1	10	3		20		10	-0.746313	2.66577		0.727681	1.59434		
_D:	1	10	1		20		10	-2.44483	-4.07582	-2.90358	-2.78982	
_D:	1	10	1		20		10	4.44037		2.21185		4.35847		1.43791		
_D:	1	10	2		20		10	1.86941		6.45127		1.78489		6.88785		
_D:	1	10	0		20		10	0.106628	-3.71679	-0.283311	-4.47221	
_D:	1	10	1		20		10	0.82899		3.25849		0.0698618	-3.16786	
_D:	1	10	0		20		10	0.806096	3.53518		0.695001	1.5996		
_D:	1	10	0		20		10	1.23402		-0.264893	-1.08807	1.49955		
_D:	1	10	1		20		10	-1.85645	-5.12931	-0.636972	-1.35317	
_D:	1	10	1		20		10	3.76633		-1.09236	-1.95014	-0.949077	
_D:	1	10	1		20		10	7.85498		5.07538		1.86408		0.653466	
_D:	1	10	1		20		10	-2.9646		-4.41824	-1.1514		-1.78813	
